row_id,split,term_zh,explanation_zh,meaning_en,equivalent_en,distractor_literal_en,distractor_cultural_mismatch_en,distractor_pragmatic_neighbor_en,harmful_label,category_label
1476,train,坤之大强之作,调侃谢广坤、苏大强等招恨角色的《逍遥游》填词梗。,"It refers to a parody that mockingly praises notoriously annoying fictional characters, using exaggerated literary-style lyrics to celebrate figures viewers love to hate.",annoying-character parody,Kun and Daqiang,sitcom villain song,old-man parody,non-harmful,Quotation
1477,train,口嗨,嘴上说得很厉害，实际做不到。,"It describes someone talking big, making bold claims, or sounding tough in words, but not actually following through or being able to do what they said.",all talk,mouth high,empty brag,loud promise,non-harmful,Experience
1478,train,孔融让离,脱口秀谐音梗，借“孔融让梨”调侃劝人离婚。,"A punny way to suggest divorce, jokingly adapting a familiar phrase into a homophonic meme used to tease or mock someone by implying they should leave their marriage.",just get divorced,Kong Rong gives pears,ancient divorce joke,pear-sharing pun,non-harmful,Homophonic pun
1479,train,匡扶汉室,《全面战争：三国》玩家沉迷时的自我调侃。,This meme jokingly describes players so absorbed in Total War: Three Kingdoms that they frame their obsession as a grand mission to restore the Han dynasty.,restore the Han dynasty,save the Han house,Three Kingdoms mission,emperor loyalty,non-harmful,Quotation
1480,test,口加舍念啥,拆字谐音表白梗，用“啥/why”等绕出“我爱你”。,"A character-riddle way to say “I love you,” using split characters and sound-alike wordplay to disguise a romantic confession as a playful question about how a made-up character should be pronounced.",I love you,mouth plus house,Chinese character puzzle,why joke,non-harmful,Homophonic pun
1481,test,口红式送礼,用不贵且不容易出错的礼物表达心意，如送口红。,"It refers to choosing a safe and affordable gift that shows thoughtfulness without costing much or being likely to disappoint, like giving lipstick as an easy, low-risk present.",safe gift,lipstick gift,cosmetic shortcut,small present,non-harmful,Stylistic device
1482,test,可惜不是个哑巴,调侃外表美好，但一开口就毁形象。,"Used jokingly for someone who looks attractive or impressive at first, but ruins that good impression as soon as they start talking.",pretty until they open their mouth,shame not mute,pretty but loud,ruined beauty,harmful,Experience
1483,train,快叫jo护车,JOJO 梗，指吉良吉影被救护车撞死的名场面。,"A JoJo meme referencing the famous scene where a character is fatally hit by an ambulance, used to evoke that dramatic and absurd fatal crash moment.",ambulance kill meme,call Jo ambulance,anime emergency,Kira rescue,non-harmful,Quotation
1484,train,开心的蘑菇炒出黏黏的西芹,“开心的锣鼓敲出年年喜庆”的谐音空耳梗。,"This phrase is a funny misheard lyric, created by replacing the original festive line with absurd similar-sounding words for comic effect.",misheard lyric meme,happy mushroom celery,New Year lyric,cooking song,non-harmful,Homophonic pun
1485,train,开幕雷击,点开视频开头就被震撼或离谱内容冲击。,"It describes getting shocked right at the opening of a video or post, when the very first moment delivers something startling, absurd, intense, or unexpectedly outrageous.",shocked in the first second,opening thunder strike,opening night jitters,clickbait intro,non-harmful,Quotation
1486,train,砍手岩,《我的世界》基岩梗，老玩家敷衍萌新问题的回答。,"A veteran player’s troll answer telling newbies to mine bedrock, used as a dismissive or teasing response to beginner questions in Minecraft communities.",go punch bedrock,hand-cutting rock,Minecraft stone,newbie trap,non-harmful,Quotation
1487,train,空调蕉太狼,“空条承太郎”的谐音爱称，结合“蕉太狼”形成搞笑叫法。,"“Air Conditioner Jiao Tailang” is a humorous punny nickname for Jotaro Kujo, created by twisting the sound of his Chinese-transliterated name into a playful phrase.",Jotaro Kujo pun,air-conditioner banana wolf,JoJo nickname,anime wolf pun,non-harmful,Homophonic pun
1488,train,哭不死董卓,讽刺只知道哭没有用，必须想办法解决问题。,This meme sarcastically means that simply crying or complaining is useless; no problem will be solved unless someone stops wallowing in emotion and actually finds a practical way to deal with it.,crying won’t solve anything,cry Dong Zhuo to death,Three Kingdoms complaint,useless tears,non-harmful,Quotation
1489,train,快进到曹丕,谐音梗，表示跳过前面无聊部分，直接到精彩处。,"This pun-based phrase means skipping over the boring setup or tedious earlier parts and jumping directly to the exciting, dramatic, or most entertaining moment.",fast-forward to the good part,fast-forward to Cao Pi,Three Kingdoms jump,punny shortcut,non-harmful,Homophonic pun
1490,train,口香糖演技,指爱豆舞台上像嚼口香糖一样进行脸部律动和表情管理。,"Chewing-gum acting"" refers to an idol’s stage facial expressions and face movements that look as if they are rhythmically chewing gum while trying to manage expressions.",gum-chewing-like facial expression management,acting with chewing gum,K-pop aegyo face,exaggerated facial expressions,non-harmful,Stylistic device
1491,train,开门见三,罗翔讲刑法的“张三”梗，指一开场就提张三。,"It means bringing up Zhang San right at the start, referencing Luo Xiang’s criminal law lectures where the example character Zhang San appears immediately as soon as the explanation begins.",straight to Zhang San,open door see three,criminal-law intro,Luo Xiang line,non-harmful,Quotation
1492,test,恐遇熟高低整,想发骚话又怕被熟人看到，只能自我阉割评论。,"It describes holding back or toning down a cheeky, provocative comment because people you know might see it, leading to self-censoring rather than posting what you really wanted to say.",self-censoring because acquaintances might see it,afraid to run into familiar people,posting a thirst trap,thinking twice before posting,non-harmful,Stylistic device
1493,test,快乐瀑布,“快乐源泉”的升级版，形容能带来无穷快乐的人或事物。,"A ""happy waterfall"" describes a person, object, or experience that feels like an upgraded source of happiness, bringing a seemingly endless flow of joy and amusement.",An endless source of joy,Happy waterfall,Fountain of youth,Laughing nonstop,non-harmful,Stylistic device
1494,train,苦茶籽,“裤衩子”的谐音，表示被帅哥美女迷住，心动到走不动道。,"It describes being so overwhelmed by attractive people that you feel captivated, flustered, and almost unable to move or think normally.",down bad,Bitter tea seeds,Underwear pun,Too stunned to walk,non-harmful,Homophonic pun
1495,train,Kiss Kiss,网络用语中表示暂停、停止，源自亲吻手势。,"“Kiss Kiss” is an internet slang gesture used to signal that something should pause or stop, drawing on the idea of a kissing gesture as a playful way to halt the action.",pause,Kiss Kiss,Blow a kiss,Cute gesture,non-harmful,Quotation
1496,train,卡农警告,《开端》中爆炸前的卡农铃声，表示危险或死亡即将到来。,"This meme refers to a warning sign that danger or death is coming, evoking the ominous ringtone from the show Reset that plays before an explosion.",death flag,Canon warning,Explosion music,Danger siren,non-harmful,Quotation
1497,train,看完这句曹操撤回了一碗饭,三国曹操扣饭情节玩梗，表示看到满意回答后撤回不满。,"This meme means taking back one’s negative reaction after seeing a satisfying answer, as if a previously annoyed or disapproving response is withdrawn once the reply turns out to be good.",I take it back,Cao Cao retracts a bowl of rice,Cao Cao unspills,Historical rice joke,non-harmful,Quotation
1498,train,裤落冥槽,用来骂人闭嘴、别再说没用的话。,"A harsh put-down telling someone to stop talking, used to rudely shut someone up when their comments are seen as pointless, annoying, or not worth listening to.",shut the fuck up,Pants fall into dark trough,Useless rant,Dark-trough insult,harmful,Homophonic pun
1499,train,孔乙己的长衫,指学历和体面成为下不来的高台，困住当代年轻人。,"The meme describes how diplomas and social expectations trapping underemployed youth can become a burden, making young people feel unable to accept lower-status work despite limited opportunities.",diploma trap,Kong Yiji's long gown,Scholar's robe,Golden handcuffs,non-harmful,Quotation
1500,train,孔乙己文学,大学生找不到理想工作时，以孔乙己语录自嘲的网络文体。,"A self-mocking writing style about degree holders stuck in poor jobs, using literary allusions to joke about educated young people who cannot find ideal work despite their academic credentials.",Kong Yiji-style self-mockery about overeducated underemployment,Kong Yiji's novels,Shakespearean job angst,overeducated and underemployed,non-harmful,Quotation
1501,train,亏内,既可表示开心，也带有“窥探内部”的低俗、贬低女性意味。,"A controversial slang expression that can signal excitement or delight while also carrying crude voyeuristic undertones of peeking into private or intimate spaces, often with a derogatory implication toward women.",peep-and-joy slang,Loss inside,Happy vibes,Creeping on women,harmful,Homophonic pun
1502,train,看球费电,嘲讽缺乏足球常识却乱发表意见，连看球都浪费电。,"It mocks someone who watches football yet understands nothing about it, suggesting that even the electricity used for them to watch the match is wasted because their opinions are clueless.",you don’t know ball,Watching football wastes electricity,Clueless spectator,Wasted power watching,harmful,Stylistic device
1503,train,快说你是来旅游的,IP属地暴露尴尬言论后，劝对方赶紧撇清本地身份。,"This phrase tells someone whose location tag exposes an embarrassing comment to quickly claim they are only visiting, so locals can distance themselves from the shame or avoid being associated with it.",say you’re just visiting,Tourist alibi,Not my province,Disown the cringe,non-harmful,Experience
1504,train,科幻片,调侃现实中甜到不真实、离谱完美的爱情故事。,"It jokingly describes an impossibly perfect, overly sweet romance that feels so unreal and idealized it could only belong in fiction rather than ordinary life.",a too-good-to-be-true romance,science fiction movie,space opera romance,romantic daydreaming,non-harmful,Experience
1505,train,开始理解灭霸,节假日人山人海时，调侃自己终于理解灭霸想打响指。,"It jokingly means that when holiday crowds become overwhelmingly unbearable, someone starts to “understand Thanos” and his desire to snap away half the population.",Thanos was right,Starting to study Thanos,May the Force thin the crowd,I need some personal space,non-harmful,Experience
1506,train,科技与狠活,辛吉飞揭露食品添加剂和食品造假的口头禅。,"A catchphrase about food additives and artificial tricks, used to point out processed foods or food fraud that rely on chemical additives, industrial techniques, or deceptive shortcuts rather than natural ingredients.",food additives and shady tricks,technology and ruthless stunts,molecular gastronomy,ultra-processed food,non-harmful,Quotation
1507,train,扛着火车跑,夸张形容逃跑速度极快。,"Describes someone fleeing extremely fast, using an exaggerated image of running away so quickly that even carrying a train would not slow them down.",run like hell,Running carrying a train,Train backpack,Cartoon escape,non-harmful,Stylistic device
1508,train,看夜光手表,含蓄邀请对方进被窝的暧昧暗示梗。,"It is a coy, suggestive way to invite someone to get under the covers, implying intimacy while phrasing the invitation indirectly and playfully.",Netflix and chill,Look at my luminous watch,Glowing watch invite,Come closer,non-harmful,Quotation
1509,train,刻烟吸肺,非主流时期把名字刻在烟上吸进肺里，现指牢记某事。,"It refers to remembering something so deeply and intensely that it feels engraved into oneself, like an unforgettable impression deliberately taken in and kept close.",burned into memory,Engrave on smoke inhale into lungs,Smoke-etched lungs,Emo cigarette memory,non-harmful,Stylistic device
1510,train,开飞船的大哥哥,《一拳超人》中对开飞船最终BOSS波罗斯的同情式加油梗。,"Big brother flying the spaceship"" is a sympathetic cheer for Boros, the final spaceship-riding villain in One Punch Man, used to support a pitiable antagonist despite his role as the enemy.","cheering for Boros, the spaceship-piloting big bro",the older brother who flies an airplane,cheering for Darth Vader,rooting for the final boss,non-harmful,Quotation
1511,train,开朗的网友,源自快手博主，网友跟风改名形成的梗。,It refers to a cheerful online persona meme that originated from a Kuaishou creator and spread as users jokingly copied the style by renaming themselves in a similar way.,cheerful online persona meme,open and bright netizen,Good Guy Greg,wholesome commenter,non-harmful,Quotation
1512,train,开团了,从游戏开团衍生，指一群人开始共同攻击或嘲讽某人。,"“Starting the fight” is used as a signal that a group is beginning a coordinated pile-on, mockery, or trolling attack against someone, often in an online argument or comment section.",dogpile!,The team fight has opened,cancel culture,roast battle,non-harmful,Stylistic device
1513,train,砍橘子树,“买橘子”梗升级版，用来夸评论过于精彩。,"This meme is used to praise a comment as extremely brilliant, suggesting that the remark is so sharp, funny, or well-said that it deserves exaggerated admiration.",top-tier comment,Chop down the tangerine tree,Stay right here,Fatherly orange joke,non-harmful,Quotation
1514,test,裤子飞了,看到帅哥美女太诱人，抵抗不住诱惑的评论梗。,Used when someone jokingly says they are so overwhelmed by a handsome or beautiful person’s attractiveness that they cannot resist the temptation or keep their composure.,my pants just flew off,Pants flew away,Netflix and chill,I'm blushing,non-harmful,Stylistic device
1515,train,客门,《明日方舟》异客强度梗，把“阿门”恶搞成“客门”。,"A worship-style meme for Passenger from Arknights, parodying religious praise by treating devotion to the character as if fans were chanting a sacred phrase in admiration or ironic reverence.",Amen to Passenger,Guest gate,Operator worship,Passenger prayer,non-harmful,Homophonic pun
1516,train,靠一些,依赖某事物缓解渴求或满足需要的万能用语。,"The phrase means relying on something to cope with a craving or need, often used broadly to describe depending on any object, activity, or habit for comfort, relief, or temporary satisfaction.",getting by on a little something,Rely on some,comfort food,making do with whatever,non-harmful,Slang
1517,train,跨年那天不要穿内裤,“没裤头”谐音“没苦头”，寓意来年无苦。,"This New Year joke uses a pun about wearing no underwear to sound like “no suffering,” expressing a playful wish that the coming year will be free of hardship.",no suffering in the coming year,Don’t wear underwear on New Year’s Eve,Go commando for good luck,"New year, new underwear",non-harmful,Homophonic pun
1518,train,开屏暴击,视频刚开始就被美颜、颜值或辣眼内容强烈冲击。,"It refers to a first-frame impact that hits the viewer hard, when a video opens with beauty filters, striking looks, or visually overwhelming content that immediately shocks or overwhelms the audience.",first-frame visual shock,critical hit on the boot screen,Rickroll,cold open,non-harmful,Experience
1519,train,口袋饱饱,山泥若直播推单成功后，观众赢鱼丸、口袋赚满的梗。,"This meme means having pockets full after winning a prediction or bet, especially when viewers profit from a successful streamer recommendation and end up feeling happily rewarded.",pockets full from a winning bet,well-fed pockets,cash cow,getting paid,non-harmful,Quotation
1520,train,咖喱人,“家里人”的谐音，孙笑川粉丝圈中的骂人梗。,"This meme is a homophonic insult involving someone’s family, used in Sun Xiaochuan fan circles as a mocking or abusive way to target a person through a pun on “family members.”",family-insult pun,Curry people,Curry family diss,Trash talk kin,harmful,Homophonic pun
1521,test,可以但没必要,表示自己能做到，但没必要做，带装逼或凡尔赛意味。,"It means saying one could do something or has the ability to pull it off, but chooses not to because it is unnecessary, often with a subtly boastful or humblebragging tone.","I could, but there's no need",Possible but required,"No pain, no gain",Low-key flexing,non-harmful,Experience
1522,train,开始自闭,形容主播或网友进入消极、封闭、语言减少的状态。,"It describes someone, such as a streamer or online user, entering a shut-down, tilted, antisocial state where they become negative, withdrawn, and much less willing to talk or interact.",shutting down,Starting to go autistic,Tilted hard,Full tilt mode,non-harmful,Stylistic device
1523,train,泪流满面,原为成语，后常用“内牛满面”等谐音表示激动、惊讶、哭笑不得或情绪爆发。,"Used as an exaggerated reaction to show extreme emotion, awkward laughter, surprise, or being deeply moved, often implying that someone is overwhelmed to the point of tears.",overwhelmed to tears,cow tears all over the face,sad trombone,nervous laughter,non-harmful,Experience
1524,train,拉仇恨,原为游戏用语，指吸引仇恨值；后指说出或做出容易招人怨恨的事。,"It means drawing hostile attention or resentment by saying or doing something that makes others annoyed, envious, or angry, originally from gaming where a player attracts enemy aggression.",draw aggro,pull hatred,attention seeker,hate magnet,non-harmful,Experience
1525,train,乱入,ACG用语，指其他作品的人物、道具或元素突然出现在当前作品中。,"A sudden crossover appearance from another work, where a character, object, or element from a different series unexpectedly shows up within the current story or scene.",crossover cameo,chaos entry,random interruption,misplaced character,non-harmful,Slang
1526,train,辣眼睛,形容看到的东西太丑、太尬或太离谱，让人无法直视。,"It describes something so ugly, awkward, absurd, or cringeworthy to look at that it feels “eye-burning,” making the viewer want to look away immediately.",eye bleach needed,spicy eyes,visual disaster,ugly shock,non-harmful,Stylistic device
1527,test,懒癌,形容懒到极致，像患了不治之症一样难以改变。,"It jokingly describes extreme, seemingly incurable laziness, as if someone’s unwillingness to move or act were a terminal condition that is very hard to change.",terminal laziness,lazy cancer,sofa disease,willpower failure,non-harmful,Stylistic device
1528,train,恋人未满,指两人关系超过朋友，但尚未真正成为恋人的暧昧状态。,"It describes an ambiguous relationship where two people are closer than ordinary friends and may have romantic feelings, but they have not formally become a couple or defined the relationship as romance.",situationship,unfinished lovers,high school sweethearts,unrequited crush,non-harmful,Quotation
1529,train,老滚,《上古卷轴》系列游戏的别称，源自早期误译和玩家简称。,"This term is a player nickname for The Elder Scrolls game series, originating from early mistranslations and later becoming a commonly used shorthand among fans.",The Elder Scrolls,old scroll,Skyrim slang,RPG nickname,non-harmful,Abbreviation
1530,test,萝莉,ACG语境中的萌属性称呼，通常指幼小、可爱、少女感强的角色类型。,"In anime, manga, and game fandom, this term refers to an archetype of a cute, young-looking girl character, typically emphasizing smallness, innocence, and a strongly girlish appearance.",loli,young girl,cute kid,Lolita dress,non-harmful,Abbreviation
1531,train,六百六十六盐都不盐了,游戏语境中夸张称赞技术太强，强到不装了、像开挂一样碾压。,"Used in gaming contexts, this phrase jokingly praises someone who dominates so completely that they seem to have stopped hiding their skill and are openly playing at an almost unfair, cheat-like level.",not even hiding it anymore,six-six-six saltless,godlike gamer,open cheat joke,non-harmful,Stylistic device
1532,train,零帧起手,游戏术语，指出招速度极快、几乎没有前摇，让人猝不及防。,"It describes an instant move with no visible startup, especially in games, where an action comes out so quickly and with almost no wind-up that opponents have little chance to react.",zero-frame startup,instant opener,no-delay strike,too fast to react,non-harmful,Slang
1533,train,老天奶,河南、鲁西南等地方言感叹词，类似“老天爷”“我的天”。,"“Lao tian nai” is a regional dialect exclamation used much like “oh my God” or “my goodness,” expressing shock, surprise, disbelief, or sudden amazement in an informal, colloquial way.",oh my God,old sky milk,hail Mary,dialect grandma,non-harmful,Slang
1534,test,蓝氏禁言术,《陈情令》相关梗，用于看到不喜欢的发言时表示想让对方闭嘴。,"It refers to a fandom-style spell imagined as a way to silence unwanted comments, used jokingly when someone sees an opinion or remark they dislike and wants the speaker to stop talking.",silencing spell,Lan clan rule,comment deletion,magic warning,non-harmful,Quotation
1535,train,联动,指两个不同作品、品牌或角色进行合作、互动或共同出现。,"A collaboration or crossover between different works refers to separate stories, brands, characters, or creative projects joining together, interacting, or appearing in shared content for a combined event or promotion.",crossover collab,linkage,joint appearance,shared promotion,non-harmful,Experience
1536,train,溜了溜了,见势不妙、尴尬或认怂时表示赶紧跑路。,"It means “I’m out of here,” used when someone wants to leave quickly because the situation has become awkward, risky, embarrassing, or unfavorable.",I’m outta here,slip away slip away,retreat signal,awkward exit,non-harmful,Experience
1537,train,累成狗,表示累到极致，像被折腾惨了一样。,"It means being extremely exhausted, worn out to the point of feeling completely drained and miserable after intense work, stress, or repeated demands.",dog-tired,tired like a dog,worn-out worker,exhaustion mode,non-harmful,Slang
1538,train,老实人孤立你,调侃不懂梗、一本正经解释笑点的人破坏气氛。,"This phrase jokingly teases someone who takes jokes too literally or explains the punchline too seriously, making the mood awkward and spoiling the shared humor of the moment.",the joke explainer,honest person isolates you,Captain Obvious,no fun allowed,non-harmful,Experience
1539,train,历史总是惊人地相似,用于吐槽类似事件反复发生，产生强烈既视感。,"This phrase is used to joke or complain that similar events keep happening again, creating a strong sense of déjà vu as if the same situation is repeating itself.",history repeats itself,déjà vu again,same old joke,uncanny coincidence,non-harmful,Experience
1540,train,冷脸洗内裤,网络小说梗，讽刺女主生气不满却仍冷着脸做家务。,"It describes someone doing household chores with a cold, silent expression while feeling angry, dissatisfied, and resentful, often mocking a character who keeps serving others despite being upset.",silently doing chores while seething with resentment,cold-faced underwear washing,Cinderella's midnight cleanup,doing chores in a bad mood,non-harmful,Quotation
1541,train,路人转粉,指原本不关注某人，因作品或事件而成为粉丝。,"It means going from casual observer to fan after previously not paying attention to someone, usually because a work, performance, public moment, or event makes the person start actively liking and supporting them.",from casual observer to fan,a passerby turns into an electric fan,fair-weather fan,casual fan,non-harmful,Experience
1542,train,厉害了我的哥,表示惊叹、佩服，类似“你真牛啊兄弟”。,"This phrase is used to express surprise and admiration, praising someone as impressive or unexpectedly skilled, much like saying “you’re really amazing, bro” in a playful or enthusiastic tone.","damn, bro, you’re amazing","powerful, my brother","may the Force be with you, bro","no way, bro",non-harmful,Quotation
1543,train,脸盲症,视觉正常但难以分辨他人面孔的认知障碍，也常泛指记不住脸。,"It refers to the inability to recognize or remember faces, whether as an actual face-recognition difficulty or a casual way to say someone often forgets what people look like.",face blindness,Name blindness,Bad memory,Forgetful eyes,non-harmful,Experience
1544,train,龙系长相,一种长相分类，指眼距宽、眼睛大且上挑、面部轮廓锋利，有“龙感”的长相。,"A sharp, fierce, dragon-like facial aesthetic describes a look with wide-set, large upward-slanting eyes and defined facial contours, giving the face an intense, striking, dragon-inspired impression.",dragon-type face,Fierce features,Sharp beauty,Wide-eyed face,non-harmful,Stylistic device
1545,train,罗密欧与朱丽叶效应,越被禁止的事情越让人好奇、越想尝试的逆反心理。,"The term describes the psychological effect where something becomes more attractive or tempting precisely because it is forbidden, restricted, or discouraged.",forbidden fruit,Forbidden love,Rebel attraction,Parental ban effect,non-harmful,Quotation
1546,train,黎叔很生气后果很严重,出自《天下无贼》台词，用作警告或最后通牒。,"This phrase is used as a stern warning or ultimatum, meaning someone important is very angry and that serious consequences are likely to follow.",you’ve been warned,Uncle Li is furious,Movie boss threat,Angry elder warning,non-harmful,Quotation
1547,train,泪失禁患者,指生气或吵架时控制不住流泪，内心暴怒但外表像示弱。,"A “tear incontinence patient” is someone who cries uncontrollably when angry or upset, appearing weak or vulnerable on the outside even while feeling furious or intensely emotional inside.",angry crier,Tear leak,Emotional leak,Crybaby syndrome,non-harmful,Experience
1548,train,理都懂,“道理我都懂”的缩写，表示虽然明白道理，但现实仍然无奈。,"It means knowing and accepting the logic or reasoning behind a situation, yet still feeling helpless, frustrated, or unable to change the reality in front of you.","I know, but still",Reason understood,I get the theory,Logic accepted,non-harmful,Abbreviation
1549,test,来信砍,贴吧缩写梗，源于“来XX信不信我砍死你”，多为嘴硬式威胁。,"This meme refers to a shortened online threat meaning “come here and see if I won’t cut you down,” usually used as exaggerated aggressive tough talk rather than a serious threat.",come here and see if I won’t cut you down,incoming letter chop,hold my beer,"come at me, bro",harmful,Abbreviation
1550,train,领便当,指角色死亡、退场或被写出剧情。,"It means that a character dies, leaves the plot, or is written out of the story, often used when someone’s role in a narrative has come to an end.",killed off,Receive a boxed lunch,Get the bento,Extra’s lunch,non-harmful,Quotation
1551,test,脸上笑嘻嘻心里mmp,表面微笑，心里疯狂骂人，表示假装礼貌但内心暴怒。,"It describes someone appearing polite and cheerful on the surface while secretly feeling furious, resentful, or mentally cursing the situation inside.","smiling outside, screaming inside",Polite smile,Smiling through pain,Hidden anger,non-harmful,Abbreviation
1552,train,冷都女,韩语缩略词，指冷漠、精干、不苟言笑的都市职业女性风格。,"It describes a chic, icy, urban career-woman vibe, marked by a cool, composed, highly capable professional style with minimal warmth, sharp polish, and an unsmiling metropolitan attitude.",ice queen,Cold city woman,Boss lady chic,Urban office style,non-harmful,Abbreviation
1553,train,老子懂孔子和孟子不懂,自称懂了，但搬出孔子孟子装作替别人求解释，实则想让对方再讲一遍。,"It means pretending you already understand something, while indirectly asking the other person to explain it again by framing the request as if it is for someone else.","I get it, but explain it again for my friend",Confucius and Mencius don’t understand,It’s all Greek to me,Can you repeat that?,non-harmful,Homophonic pun
1554,train,老阴比,形容看似无害，实则心机深、很会阴人的人。,"A person who appears harmless or unthreatening on the surface, but is actually secretly cunning, scheming, and skilled at manipulating situations or setting others up.",wolf in sheep’s clothing,Old shady one,Hidden schemer,Sneaky bastard,harmful,Slang
1555,train,拉去放高利贷,形容某人口才太好、太会忽悠，适合去放高利贷骗钱。,Describes someone whose smooth talk and persuasive skill are so strong that they seem perfectly suited to tricking people into shady high-interest lending schemes.,con artist material,Drag off to loan sharking,Sweet talker,Smooth operator,harmful,Stylistic device
1556,train,聊五毛钱的,幽默表示想和对方随便聊一会儿。,"It humorously means asking someone for a quick casual chat, suggesting a brief, low-pressure conversation just to talk for a little while without any serious purpose.",shoot the breeze,Chat for fifty cents,Tiny paid chat,Cheap conversation,non-harmful,Quotation
1557,train,留下了不学无术的泪水,自嘲别人太优秀，自己太菜、太没文化，被对比伤害。,"A self-deprecating phrase used when someone feels painfully inadequate or uncultured after comparing themselves with a much more talented, knowledgeable, or impressive person.",crying because everyone else is talented and I feel uncultured,tears left by not studying,big brain energy,humblebrag tears,non-harmful,Experience
1558,train,老八秘制小汉堡,快手主播老八的黑暗料理梗，用于指恶心、猎奇的食物或内容。,"A gross food meme from streamer Old Eight, used to describe disgusting, bizarre, or shock-value food and content that feels deliberately revolting or hard to watch.",gross-out burger,Old Eight’s secret burger,Stinky burger,Disgusting recipe,non-harmful,Quotation
1559,train,我练功发自真心,德国男孩摔键盘视频的中文空耳，带鬼畜和暴怒整活色彩。,"This phrase refers to a Chinese misheard line from the German rage-kid meme, especially the keyboard-smashing video, carrying a chaotic remix humor and exaggerated furious-performance vibe.",misheard rage meme,I train from the heart,German boy meme,Epic keyboard rage,non-harmful,Homophonic pun
1560,train,六斤疆人,“新疆人”的谐音自嘲说法。,This is a playful homophonic self-deprecating nickname used by people from Xinjiang to joke about their regional identity in a lighthearted way.,Xinjiang pun,Six-jin person,Local identity pun,Xinjiang joke,non-harmful,Homophonic pun
1561,train,老二让我选她,指被下半身欲望驱使，选择女人而放弃兄弟或原则。,"It means being driven by sexual desire to choose a woman or temptation over one’s friends, principles, loyalty, or rational judgment.",thinking with my dick,little brother told me to pick her,bro-code drama,junior made the choice,non-harmful,Stylistic device
1562,test,老实巴蕉,王一博吃香蕉表情包，展现明星沙雕、憨憨的一面。,"A goofy banana-eating celebrity meme showing a star’s silly, endearingly clueless side through an expression while eating a banana.",goofy banana meme,honest banana,celebrity snack face,banana reaction,non-harmful,Homophonic pun
1563,train,烂怂大雁塔有啥看的,陕西方言式护短：本地人可以吐槽自家景点，外地人不能说。,"It means locals are allowed to joke about or criticize their own hometown and attractions, but outsiders are not welcome to make the same mockery.",only locals can talk shit,lousy Big Wild Goose Pagoda,hometown landmark roast,tourist complaint,non-harmful,Quotation
1564,train,老家秘传,回避“从哪学的”时的万能搪塞，说成祖传秘技。,"It means jokingly claiming a secret family source, usually as a playful excuse when avoiding the question of where someone learned a skill, trick, or piece of knowledge.",family secret,hometown secret technique,ancient village wisdom,hidden hometown trick,non-harmful,Stylistic device
1565,train,龙鸣,四川方言中“农民”的谐音蔑称，用于嘲讽别人土、没见识。,"A derogatory slang term used to mock someone as rustic, uncultured, or lacking worldly experience, implying they are unsophisticated and out of touch in a contemptuous way.",hick,dragon chirp,rural accent joke,village outsider,harmful,Homophonic pun
1566,train,驴粪蛋子表面光,俗语，形容表面光鲜，实则徒有其表。,"It describes someone or something that looks polished, impressive, or attractive on the surface, but lacks real substance, value, or quality underneath.",all show and no substance,shiny donkey dung,polished shell,fake shine,non-harmful,Slang
1567,train,拉胯,北方方言，指关键时刻掉链子、表现不行。,"This slang describes someone or something failing at a crucial moment, especially when they were expected to perform well but instead let others down or proved unable to handle the situation.",drop the ball,pull the crotch,bad timing,weak showing,non-harmful,Slang
1568,train,六人定律,指任意两个人都可以通过六个人建立联系。,"It refers to the idea that any two people can be connected through a surprisingly short chain of acquaintances, usually described as no more than six intermediary people.",six degrees of separation,six-person rule,small-world chain,connection ladder,non-harmful,Experience
1569,test,老虚,指日本编剧虚渊玄，因黑暗致郁风格被粉丝调侃。,"Old Uro"" is a nickname for Gen Urobuchi, used by fans to refer to his reputation for dark, tragic, and emotionally bleak writing that often leaves audiences devastated.",Gen Urobuchi,Old Xu,cruel writer,death-flag author,non-harmful,Experience
1570,test,梁静茹给的勇气,嘲讽对方哪来的勇气说出或做出这种事。,"This phrase mocks someone for having the unreasonable audacity or misplaced confidence to say or do something that seems obviously inappropriate, absurd, or beyond their position.",who gave you the nerve?,courage from a singer,borrowed bravery,pop-song courage,non-harmful,Experience
1571,test,来人把他麦给我闭了,表示对方说话难听或不该说，要求立刻闭嘴。,"Used to demand that someone stop talking immediately, especially when what they are saying sounds unpleasant, inappropriate, annoying, or should not have been said at all.",mute him,close his mic,bad audio complaint,noisy speaker,non-harmful,Experience
1572,train,老太太钻被窝,歇后语式表达，形容摔得四脚朝天或动弹不得。,"This expression describes someone who has fallen flat on their back, often with limbs awkwardly up, or is left unable to move after a fall or mishap.",flat on your back,old lady crawls into bed,tangled blanket joke,bedtime fall,non-harmful,Stylistic device
1573,test,拉去巴西钓绿毛龟,夸张调侃某人评论很有才，应该去巴西钓绿毛龟发财。,It sarcastically praises a wildly clever comment by joking that the commenter is so talented they should be sent off to make money through an absurdly specific lucky venture.,big brain comment,Brazil turtle fishing,tropical fortune trip,green turtle business,non-harmful,Stylistic device
1574,train,垃圾就该呆在垃圾堆里,辱骂某人很差、像垃圾一样只配待在垃圾堆。,"A harsh insult saying someone is worthless or terrible, comparing them to trash and claiming they only deserve to stay in a garbage pile with other trash.",trash belongs in the dump,waste sorting slogan,recycling bin joke,street garbage,harmful,Quotation
